TOTALTHREADS:5 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.000387
TOTALTHREADS:5 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.000454
TOTALTHREADS:5 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.000428
TOTALTHREADS:5 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.000460
TOTALTHREADS:5 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.000511

TOTALTHREADS:5 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:0.973646
TOTALTHREADS:5 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:0.972753
TOTALTHREADS:5 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:0.961375
TOTALTHREADS:5 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:0.953068
TOTALTHREADS:5 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:0.975485

TOTALTHREADS:5 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:76.656787
TOTALTHREADS:5 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:76.604704
TOTALTHREADS:5 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:77.425613
TOTALTHREADS:5 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:77.129405
TOTALTHREADS:5 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:76.643840

——————————————————————————————————————————————————————————————————————

TOTALTHREADS:25 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.003148
TOTALTHREADS:25 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.001650
TOTALTHREADS:25 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.001769
TOTALTHREADS:25 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.001525
TOTALTHREADS:25 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.001673

TOTALTHREADS:25 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:3.842227
TOTALTHREADS:25 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:3.843188
TOTALTHREADS:25 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:3.840194
TOTALTHREADS:25 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:3.852644
TOTALTHREADS:25 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:3.858048

TOTALTHREADS:25 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:318.536757
TOTALTHREADS:25 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:322.994860
TOTALTHREADS:25 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:321.613892
TOTALTHREADS:25 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:320.575290
TOTALTHREADS:25 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:324.684543

——————————————————————————————————————————————————————————————————————

TOTALTHREADS:50 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.008143
TOTALTHREADS:50 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.002958
TOTALTHREADS:50 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.003563
TOTALTHREADS:50 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.003088
TOTALTHREADS:50 || TOTALCOMPUTATIONS:100 || ELAPSEDTIME:0.003165

TOTALTHREADS:50 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:7.703165
TOTALTHREADS:50 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:7.698181
TOTALTHREADS:50 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:7.761072
TOTALTHREADS:50 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:7.701417
TOTALTHREADS:50 || TOTALCOMPUTATIONS:100000 || ELAPSEDTIME:7.697393

TOTALTHREADS:50 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:640.060057
TOTALTHREADS:50 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:643.823816
TOTALTHREADS:50 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:650.872568
TOTALTHREADS:50 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:651.634573
TOTALTHREADS:50 || TOTALCOMPUTATIONS:1000000 || ELAPSEDTIME:648.452347
